dorm_type,room_type,Housing portion,date
Premium Room Projected Rates (Blackwell),SINGLE,"$15,870",2021-12-22
Premium Room Projected Rates (Blackwell),DOUBLE,"$13,825",2021-12-22
Room in Mini Suite Projected Rates,SINGLE,"$15,870",2021-12-22
Room in Mini Suite Projected Rates,DOUBLE,"$15,600",2021-12-22
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$13,045",2021-12-22
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$12,730",2021-12-22
Room in Suite Projected Rates,SINGLE,"$17,580",2021-12-22
Room in Suite Projected Rates,DOUBLE,"$17,300",2021-12-22
Room in Suite Projected Rates,DOUBLE (in Stern),"$14,335",2021-12-22
Room in Suite Projected Rates,TRIPLE,"$15,010",2021-12-22
Room in Suite Projected Rates,QUAD,"$13,450",2021-12-22
Standard Room Projected Rates,SINGLE,"$15,615",2021-12-22
Standard Room Projected Rates,DOUBLE,"$13,510",2021-12-22
Standard Room Projected Rates,TRIPLE,"$11,000",2021-12-22
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$11,325",2021-12-22
Standard Room Projected Rates,QUAD,"$9,830",2021-12-22
Premium Room Projected Rates (Blackwell),SINGLE,"$15,870",2022-01-27
Premium Room Projected Rates (Blackwell),DOUBLE,"$13,825",2022-01-27
Room in Mini Suite Projected Rates,SINGLE,"$15,870",2022-01-27
Room in Mini Suite Projected Rates,DOUBLE,"$15,600",2022-01-27
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$13,045",2022-01-27
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$12,730",2022-01-27
Room in Suite Projected Rates,SINGLE,"$17,580",2022-01-27
Room in Suite Projected Rates,DOUBLE,"$17,300",2022-01-27
Room in Suite Projected Rates,DOUBLE (in Stern),"$14,335",2022-01-27
Room in Suite Projected Rates,TRIPLE,"$15,010",2022-01-27
Room in Suite Projected Rates,QUAD,"$13,450",2022-01-27
Standard Room Projected Rates,SINGLE,"$15,615",2022-01-27
Standard Room Projected Rates,DOUBLE,"$13,510",2022-01-27
Standard Room Projected Rates,TRIPLE,"$11,000",2022-01-27
