price,type,bathrooms,size,address,date
"$2,570+",Studio,,,"Jones Berkeley | 1080 Jones St, Berkeley, CA",2022-11-16
"$2,808+",1 bd,,,"Jones Berkeley | 1080 Jones St, Berkeley, CA",2022-11-16
"$3,909+",2 bds,,,"Jones Berkeley | 1080 Jones St, Berkeley, CA",2022-11-16
"$3,324+",Studio,,,"Modera Berkeley | 2119 University Ave, Berkeley, CA",2022-11-16
"$3,437+",1 bd,,,"Modera Berkeley | 2119 University Ave, Berkeley, CA",2022-11-16
"$3,665+",2 bds,,,"Modera Berkeley | 2119 University Ave, Berkeley, CA",2022-11-16
"$5,703+",3 bds,,,"Modera Berkeley | 2119 University Ave, Berkeley, CA",2022-11-16
"$2,900+",Studio,,,"Stadium Place Apartments | 2312 Fulton St, Berkeley, CA",2022-11-16
"$3,300+",1 bd,,,"Stadium Place Apartments | 2312 Fulton St, Berkeley, CA",2022-11-16
"$4,800+",2 bds,,,"Stadium Place Apartments | 2312 Fulton St, Berkeley, CA",2022-11-16
"$2,836+",Studio,,,"The Dwight | 2121 Dwight Way, Berkeley, CA",2022-11-16
"$3,276+",1 bd,,,"The Dwight | 2121 Dwight Way, Berkeley, CA",2022-11-16
"$3,985+",2 bds,,,"The Dwight | 2121 Dwight Way, Berkeley, CA",2022-11-16
"$2,585+",Studio,,,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2022-11-16
"$2,589+",1 bd,,,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2022-11-16
"$4,077+",2 bds,,,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2022-11-16
"$3,800+",2,,,"Telegraph Gardens | 3001 Telegraph Ave, Berkeley, CA",2022-11-16
"$2,115+",Studio,,,"Common Bosco | 1717 University Ave, Berkeley, CA",2022-11-16
"$3,156+",Studio,,,"The Addison | 1950 Addison St, Berkeley, CA",2022-11-16
"$3,029+",1 bd,,,"The Addison | 1950 Addison St, Berkeley, CA",2022-11-16
"$4,311+",2 bds,,,"The Addison | 1950 Addison St, Berkeley, CA",2022-11-16
"$2,190+",Studio,,,"Higby | 3015 San Pablo Ave, Berkeley, CA",2022-11-16
"$2,535+",1 bd,,,"Higby | 3015 San Pablo Ave, Berkeley, CA",2022-11-16
"$3,394+",2 bds,,,"Higby | 3015 San Pablo Ave, Berkeley, CA",2022-11-16
"$4,845+",3 bds,,,"Higby | 3015 San Pablo Ave, Berkeley, CA",2022-11-16
