price,type,bathrooms,size,address,date
2195,1bd,1ba,440sqft,"1507 Harmon St, Berkeley, CA 94703",2022-04-24
2200,Studio,,,"1720 Spruce St, Berkeley, CA",2022-04-24
3200,2bds,,,"1720 Spruce St, Berkeley, CA",2022-04-24
2195,Studio,1ba,363sqft,"1793 Spruce St, Berkeley, CA 94709",2022-04-24
2795,1bd,,,"2211 Channing Way | 2211 Channing Way, Berkeley, CA",2022-04-24
3195,2bds,,,"2211 Channing Way | 2211 Channing Way, Berkeley, CA",2022-04-24
3995,3bds,,,"2211 Channing Way | 2211 Channing Way, Berkeley, CA",2022-04-24
2495,1bd,1ba,500sqft,"1432-1434 Arch St., 1432 Arch St #G, Berkeley, CA 94708",2022-04-24
3110,Studio,,,"Modera Berkeley | 2119 University Ave, Berkeley, CA",2022-04-24
3667,1bd,,,"Modera Berkeley | 2119 University Ave, Berkeley, CA",2022-04-24
1850,1bd,1ba,"3,678sqft","(undisclosed Address), Berkeley, CA 94703",2022-04-24
2989,Studio,,,"Sterling Berkeley Collection | 2116 Allston Way, Berkeley, CA",2022-04-24
3294,1bd,,,"Sterling Berkeley Collection | 2116 Allston Way, Berkeley, CA",2022-04-24
4079,2bds,,,"Sterling Berkeley Collection | 2116 Allston Way, Berkeley, CA",2022-04-24
6214,3bds,,,"Sterling Berkeley Collection | 2116 Allston Way, Berkeley, CA",2022-04-24
2295,1bd,1ba,442sqft,"1 bed, 1.0 bath, $2,295, 2239 Channing Way APT 101, Berkeley, CA 94704",2022-04-24
3000,2bds,2ba,700sqft,"2005 Berkeley Way UNIT E, Berkeley, CA 94704",2022-04-24
1975,Studio,1ba,431sqft,"Studioville - 17, 2644 Dwight Way APT 17, Berkeley, CA 94704",2022-04-24
3150,2bds,1ba,"1,000sqft","2419 Parker St #1, Berkeley, CA 94704",2022-04-24
2300,1bd,1ba,500sqft,"1798 Walnut St #8, Berkeley, CA 94709",2022-04-24
3600,2bds,,,"1865 Euclid Avenue - 12 | 1865 Euclid Ave, Berkeley, CA",2022-04-24
2500,1bd,1ba,735sqft,"920 Shattuck Ave #B, Berkeley, CA 94707",2022-04-24
3850,2bds,1ba,950sqft,"2538 Hillegass Ave APT C, Berkeley, CA 94704",2022-04-24
2300,1bd,1ba,675sqft,"2328 Roosevelt Ave #B, Berkeley, CA 94703",2022-04-24
1780,Studio,,,"2214 Haste St, Berkeley, CA",2022-04-24
3100,2bds,,,"2214 Haste St, Berkeley, CA",2022-04-24
