date,type,price
2020-01-01,1bd,2200.0
2020-01-01,2bds,2850.0
2020-01-01,3bds,3995.0
2020-01-01,4bds,5800.0
2020-01-01,Studio,1780.0
2020-01-02,1bd,2150.0
2020-01-02,2bds,2850.0
2020-01-02,3bds,4097.5
2020-01-02,4bds,5800.0
2020-01-02,Studio,1780.0
2020-01-03,1bd,2100.0
2020-01-03,2bds,2850.0
2020-01-03,3bds,4097.5
2020-01-03,4bds,5800.0
2020-01-03,Studio,1780.0
2020-01-05,1bd,2097.5
2020-01-05,2bds,2874.5
2020-01-05,3bds,3995.0
2020-01-05,4bds,5800.0
2020-01-05,Studio,1950.0
2020-01-06,1bd,2147.5
2020-01-06,2bds,2874.5
2020-01-06,4bds,5800.0
2020-01-06,Studio,2025.0
2020-01-07,1bd,2247.5
2020-01-07,2bds,2950.0
2020-01-07,3bds,4099.5
2020-01-07,Studio,2025.0
2020-01-08,10bds,1950.0
2020-01-08,1bd,2400.0
2020-01-08,2bds,2950.0
2020-01-08,3bds,4099.5
2020-01-08,6bds,9500.0
2020-01-08,Studio,1995.0
2020-01-09,10bds,1950.0
2020-01-09,1bd,2300.0
2020-01-09,2bds,2950.0
2020-01-09,3bds,4099.5
2020-01-09,6bds,9500.0
2020-01-09,Studio,1995.0
2020-01-10,10bds,1950.0
2020-01-10,1bd,2300.0
2020-01-10,2bds,3100.0
2020-01-10,3bds,4200.0
2020-01-10,6bds,9500.0
2020-01-10,Studio,1995.0
2020-01-11,10bds,1950.0
2020-01-11,1bd,2195.0
2020-01-11,2bds,2950.0
2020-01-11,3bds,4995.0
2020-01-11,Studio,1945.0
2020-01-12,1bd,2322.5
2020-01-12,2bds,2875.0
2020-01-12,3bds,4995.0
2020-01-12,Studio,1900.0
2020-01-13,1bd,2475.0
2020-01-13,2bds,2800.0
2020-01-13,3bds,3999.0
2020-01-13,Studio,2022.5
2020-01-17,1bd,2395.0
2020-01-17,2bds,2795.0
2020-01-17,3bds,3712.5
2020-01-17,Studio,2099.5
2020-01-18,1bd,2900.0
2020-01-18,2bds,2850.0
2020-01-18,3bds,3975.0
2020-01-18,Studio,1999.5
2020-01-24,1bd,2200.0
2020-01-24,2bds,2647.5
2020-01-24,3bds,4299.0
2020-01-24,Studio,1795.0
2020-02-05,1bd,2525.0
2020-02-05,2bds,3147.5
2020-02-05,3bds,4495.0
2020-02-05,Studio,2997.0
2020-03-02,1bd,2447.5
2020-03-02,2bds,2897.5
2020-03-02,3bds,4195.0
2020-03-02,Studio,1875.0
2020-03-08,1bd,2685.0
2020-03-08,2bds,2995.0
2020-03-08,3bds,3795.0
2020-03-08,6bds,10000.0
2020-03-08,Studio,1675.0
2020-03-16,1bd,2425.0
2020-03-16,2bds,2995.0
2020-03-16,3bds,3200.0
