Unnamed: 0,Apartment Options,Cost
Intersection Apartments,Standard single-occupancy studio apartment – furnished,"$1,355-$1,485"
Intersection Apartments,"Single-occupancy junior one-bedroom, one-bath apartment – furnished","$1,550"
Intersection Apartments,"Standard one-bedroom, one-bath apartment – furnished","$1,830-$1,995"
Intersection Apartments,"Single-occupancy room in a two-bedroom, one-bath apartment – furnished","$1,515"
Intersection Apartments,"Single-occupancy room in a two-bedroom, two-bath apartment – furnished","$1,535-$1,690"
Intersection Apartments,"Single-occupancy room in a four-bedroom, three-bath apartment – furnished","$1,430-$1,575"
Jackson House Apartments,Furnished single-occupancy room in a shared 2-bedroom apartment,"$1,485"
Jackson House Apartments,Furnished single-occupancy room in a shared 3-bedroom apartment,"$1,425"
Jackson House Apartments,Furnished single-occupancy room in a shared 4-bedroom apartment,"$1,405"
Jackson House Apartments,Furnished single-occupancy room in a shared 5-bedroom apartment,"$1,335"
Jackson House Apartments,Furnished single-occupancy room in a shared 6-bedroom apartment,"$1,270"
Manville Apartments,Standard single-occupancy studio apartment – unfurnished,"$1,385"
Manville Apartments,Standard single-occupancy studio apartment – furnished,"$1,445"
Manville Apartments,Deck/Court single-occupancy studio apartment – unfurnished,"$1,425"
Manville Apartments,Deck/Court single-occupancy studio apartment – furnished,"$1,490"
Manville Apartments,Bayview single-occupancy studio apartment – unfurnished,"$1,425"
Manville Apartments,Bayview single-occupancy studio apartment – furnished,"$1,490"
Panoramic Berkeley,Furnished single-occupancy room in a shared 3 Bedroom apartment,"$1,605"
Panoramic Berkeley,"Furnished single-occupancy room in a shared 4 Bedroom, 1.5 Bath apartment","$1,590"
